Locality,Expense,Unit,Annual,Monthly,Weekly,source,notes,Missing
Albemarle,Food,child aged 2-3,"1,873.20",156.1,36,Official USDA Thrifty Food Plan April 2022,,
Albemarle,Food,child aged 4-5,"2,026.80",168.9,39,Official USDA Thrifty Food Plan April 2022,,
Albemarle,Food,female aged 20-50,"2,730.00",227.5,52.5,Official USDA Thrifty Food Plan April 2022,,
Albemarle,Food,Total,"6,630.00",552.5,127.5,Official USDA Thrifty Food Plan April 2022,,
Albemarle,Clothing,child aged 0-2,960,80,18.46,"USDA Expenditures on children by families report Estimated annual expenditures on a child by married-couple families, urban Northeast, 2015 ",,
Albemarle,Clothing,child aged 3-5,810,67.5,15.58,"USDA Expenditures on children by families report Estimated annual expenditures on a child by married-couple families, urban Northeast, 2015 ",,
Albemarle,Clothing,female aged 25-34,564,47,10.85,US Bureau of labor statistics consumer expenditure survey tables,women and girls,
Albemarle,Clothing,Total,"2,334.00",194.5,44.88,UDSA Expenditures and US Buereau of labor statistics,,
Albemarle,Shelter,one-bedroom,"12,756.00","1,063.00",245.31,FY 2022 Fair Market Rent Documentation System HUD,Not specific to this locality,
Albemarle,Shelter,two-bedroom,"15,168.00","1,264.00",291.69,FY 2022 Fair Market Rent Documentation System HUD,Not specific to this locality,
Albemarle,Shelter,three-bedroom,"18,744.00","1,562.00",360.46,FY 2022 Fair Market Rent Documentation System HUD,Not specific to this locality,
Albemarle,Shelter,Total,"15,168.00",1264,291.69,,two-bedroom,
Albemarle,Utilities,Range/Microwave,24,2,0.46,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Refrigerator,36,3,0.69,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Cooling (A/C),96,8,1.85,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Other Electric,216,18,4.15,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Cooking,60,5,1.15,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Home Heating,396,33,7.62,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Tax,,,0,,Effective: 07/01/2021; two exposed walls ,"This is listed in the methodology sheet, but it's missing from the VHDA report where it says it was taken"
Albemarle,Utilities,Water Heating,180,15,3.46,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Sewer,456,38,8.77,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Trash Collection,168,14,3.23,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Water,372,31,7.15,,Effective: 07/01/2021; two exposed walls ,
Albemarle,Utilities,Telephone,"1,321.00",110.08,25.4,US Bureau of labor statistics consumer expenditure survey tables,ages 25-34 years,
Albemarle,Utilities,Total,"3,325.00",277.08,63.94,,,
Albemarle,FCSU,Total (two-bedroom),"27,457.00",2288.08,528.02,Calculated based on two-bedroom cost,,
Albemarle,Necessary Costs,Total,"5,491.40",457.62,105.6,,,
Albemarle,Survival Expenses,Total,"32,948.40",2745.7,633.62,,,
Albemarle,Childcare,Total,21580,1798,415,VDSS Child Care Subsidy Program Guidance Manual,"Effect 07/01/2020 Level 1, Center Care, toddler + pre-school",
Albemarle,Transportation,maintenance and repairs,763,63.58,14.67,US Bureau of labor statistics consumer expenditure survey tables,ages 25-34 years,
Albemarle,Transportation,vehicle insurance,"1,575.00",131.25,30.29,US Bureau of labor statistics consumer expenditure survey tables,ages 25-34 years,
Albemarle,Transportation,"Gasoline, other fuels, and motor oil","1,658.00",138.17,31.88,US Bureau of labor statistics consumer expenditure survey tables,ages 25-34 years,
Albemarle,Transportation,Total,"3,996.00",333,76.85,,,
Albemarle,Total Expenses,Total,"58,524.40",4116.2,949.89,,,
Buckingham,Food,child aged 2-3,"1,873.20",156.1,36,Official USDA Thrifty Food Plan April 2022,,
Buckingham,Food,child aged 4-5,"2,026.80",168.9,39,Official USDA Thrifty Food Plan April 2022,,
Buckingham,Food,female aged 20-50,"2,730.00",227.5,52.5,Official USDA Thrifty Food Plan April 2022,,
Buckingham,Food,Total,"6,630.00",552.5,127.5,Official USDA Thrifty Food Plan April 2022,,
Buckingham,Clothing,child aged 0-2,960,80,18.46,"USDA Expenditures on children by families report Estimated annual expenditures on a child by married-couple families, urban Northeast, 2015 ",,
Buckingham,Clothing,child aged 3-5,810,67.5,15.58,"USDA Expenditures on children by families report Estimated annual expenditures on a child by married-couple families, urban Northeast, 2015 ",,
Buckingham,Clothing,female aged 25-34,564,47,10.85,US Bureau of labor statistics consumer expenditure survey tables,women and girls,
Buckingham,Clothing,Total,"2,334.00",194.5,44.88,UDSA Expenditures and US Buereau of labor statistics,,
Buckingham,Shelter,one-bedroom,"7,572.00",631,145.62,FY 2022 Fair Market Rent Documentation System HUD,specific to this locality,
Buckingham,Shelter,two-bedroom,"8,628.00",719,165.92,FY 2022 Fair Market Rent Documentation System HUD,specific to this locality,
Buckingham,Shelter,three-bedroom,"11,388.00",949,219,FY 2022 Fair Market Rent Documentation System HUD,specific to this locality,
