family_type,Albemarle County,Charlottesville city,Fluvanna County,Greene County,Louisa County,Nelson County
a1i0p0s0t0,30357.66,27608.7,31738.56,28710.27,24781.79,27836.8
a1i1p0s0t0,57989.23,56039.61,54196.98,50380.87,44515.16,49148.64
a1i0p1s0t0,56533.77,54627.72,53195.82,49461.61,43587.68,48221.57
a1i0p0s1t0,52407.3,50976.51,50984.08,47173.64,40779.76,46158.58
a1i0p0s0t1,43219.84,42074.45,45121.69,40986.9,32933.32,39170.02
a1i2p0s0t0,76045.14,74700.35,66412.47,62381.56,56367.72,61008.61
a1i1p1s0t0,74357.01,73060.26,65404.59,61455.89,55434.2,60075.48
a1i1p0s1t0,69979.14,69309.87,63119.48,59098.03,52990.74,57946.47
a1i1p0s0t1,59883.43,59364.17,56347.56,52302.05,46166.46,50813.43
a1i0p2s0t0,72713.27,71631.95,64396.7,60530.22,54500.69,59142.36
a1i0p1s1t0,68517.31,67889.63,62111.59,58172.36,52057.23,57013.34
a1i0p1s0t1,58421.59,57943.93,55339.67,51376.38,44153.62,49880.31
a1i0p0s2t0,64321.34,64147.32,59826.49,55814.49,49613.77,54884.32
a1i0p0s1t1,54225.63,54201.62,53345.15,49309.1,40462.45,47969.64
a1i0p0s0t2,45308.79,46326.97,48203.44,42245.41,32815.56,39827.84
a1i3p0s0t0,103692.27,103229.82,87150.94,81269.98,75091.82,79351.9
a1i2p1s0t0,101996.79,101580.09,85979.27,80193.62,74006.82,78267.34
a1i2p0s1t0,97071.04,97153.27,83255.7,77390.03,71362.58,75732.5
a1i2p0s0t1,85385.99,85633.2,75407.48,69982.46,64516.52,68211.35
a1i1p2s0t0,100301.3,99930.35,84807.6,79117.25,72932.31,77182.78
a1i1p1s1t0,95375.56,95503.53,82084.03,76313.67,70423.02,74647.94
a1i1p1s0t1,83690.5,83983.46,74235.81,69050.38,63576.97,67272.17
a1i1p0s2t0,90449.82,91076.72,79360.47,73510.09,67913.74,72231.99
a1i1p0s1t1,78764.76,79556.65,71711.68,66622.62,61067.68,65077.12
a1i1p0s0t2,67873.3,68701.92,64915.49,59803.52,54221.63,57922.25
a1i0p3s0t0,98605.82,98280.61,83635.93,78040.89,71992.75,76098.21
a1i0p2s1t0,93680.07,93853.8,80912.36,75237.31,69483.47,73563.38
a1i0p2s0t1,81995.01,82333.73,73064.14,68118.3,62637.41,66332.99
a1i0p1s2t0,88754.33,89426.98,78188.8,72509.63,66974.18,71292.81
a1i0p1s1t1,77069.27,77906.91,70697.06,65690.54,60128.13,64137.94
a1i0p1s0t2,66405.1,67273.32,63900.88,58871.44,53282.08,56983.07
a1i0p0s3t0,83828.59,85000.17,75465.23,70081.87,64464.9,69097.76
a1i0p0s2t1,72258.34,73480.1,68338.59,63262.77,57618.84,61942.89
a1i0p0s1t2,62139.64,63439.92,61832.99,56734.26,50686.36,55006.38
a1i0p0s0t3,53941.74,55535.14,56667.02,51545.38,43623.86,49553.96
a1i4p0s0t0,125255.74,125510.63,101783.48,95686.1,89374.08,93640.86
a1i3p1s0t0,123498.5,123798.24,100604.04,94602.33,88282.11,92549.3
a1i3p0s1t0,118332.56,119121.43,97795.76,91718.03,85308.38,89938.21
a1i3p0s0t1,106246.79,107197.41,89919.51,83816.65,77377.43,81650.57
a1i2p2s0t0,121741.25,122085.84,99424.6,93518.57,87190.15,91457.75
a1i2p1s1t0,116575.32,117409.03,96616.31,90634.26,84216.41,88846.66
a1i2p1s0t1,104509.99,105485.01,88740.07,82732.88,76285.46,80559.01
a1i2p0s2t0,111409.38,112732.22,93808.03,87749.96,81242.68,86235.57
a1i2p0s1t1,99504,100942.62,85931.79,79848.58,73311.73,77947.92
a1i2p0s0t2,87792.4,89387.77,78055.55,72088.33,66402.12,70107.96
a1i1p3s0t0,119984,120373.44,98245.16,92434.8,86098.18,90366.19
a1i1p2s1t0,114818.07,115696.63,95436.87,89550.5,83124.45,87755.1
a1i1p2s0t1,102807.15,103815.25,87560.63,81649.12,75193.49,79467.45
a1i1p1s2t0,109652.13,111019.83,92628.59,86666.19,80150.71,85144.01
a1i1p1s1t1,97801.15,99283.24,84752.35,78764.81,72324.35,76856.36
a1i1p1s0t2,86089.56,87728.38,76876.11,71149.84,65456.53,69162.72
a1i1p0s3t0,104506.75,106343.02,89820.3,83781.89,77176.98,82532.92
a1i1p0s2t1,92795.16,94751.23,81944.06,75880.51,69749.24,74245.28
a1i1p0s1t2,81083.56,83196.37,74067.82,68652.17,62881.42,66901.65
a1i1p0s0t3,69858.3,71823.61,67104.23,61809.96,56013.6,59724.94
a1i0p4s0t0,118226.75,118661.04,97065.72,91351.04,85006.21,89274.63
a1i0p3s1t0,113060.82,113984.24,94257.43,88466.73,82032.48,86663.54
a1i0p3s0t1,101104.3,102155.87,86381.19,80565.35,74101.53,78375.9
a1i0p2s2t0,107894.89,109307.43,91449.15,85582.43,79058.74,84052.46
a1i0p2s1t1,96098.31,97623.86,83572.91,77681.05,71378.76,75764.81
a1i0p2s0t2,84386.71,86069,75696.66,70211.35,64510.94,68217.49
a1i0p1s3t0,102803.91,104646.7,88640.86,82698.12,76085.01,81441.37
a1i0p1s2t1,91092.31,93091.84,80764.62,74796.74,68803.65,73153.72
a1i0p1s1t2,79380.72,81536.99,72903.34,67713.68,61935.83,65956.41
a1i0p1s0t3,68383.71,70386.67,66082.9,60871.47,55068.01,58779.71
a1i0p0s4t0,97797.91,100114.69,85832.57,79813.82,73111.27,78830.28
a1i0p0s3t1,86086.32,88559.83,77956.33,72058.23,66228.54,70872.04
a1i0p0s2t2,74374.72,77004.97,70471.5,65216.01,59360.72,63695.33
a1i0p0s1t3,64048.76,66462.16,63941.64,58664.39,52783.48,56736.98
a1i0p0s0t4,55827.88,58527.26,58751.4,53452.39,45967.17,51262.73
a1i5p0s0t0,155939.3,157353.08,126388.15,118643.09,111508.07,115720
a1i4p1s0t0,154182.05,155640.69,125171.03,117524.7,110381.22,114593.57
a1i4p0s1t0,149016.11,150963.88,122273.02,114548.25,107312.48,111899.06
a1i4p0s0t1,136930.35,139039.86,114145.14,106394.43,99314.58,103402.46
a1i3p2s0t0,152424.8,153928.29,123953.9,116406.31,109254.37,113467.14
a1i3p1s1t0,147258.87,149251.48,121055.89,113429.86,106185.62,110772.63
a1i3p1s0t1,135173.1,137327.46,112928.02,105276.04,98222.61,102310.91
a1i3p0s2t0,142092.93,144574.68,118157.88,110453.4,103179.83,108078.12
